Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Price,OS_Open,OS_High,OS_Low,OS_Trend,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Trend,USB_Price,USB_Open,USB_High,USB_Low,USB_Trend,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Trend,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Trend,RHO_PRICE,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_Adj Close,GDX_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_Adj Close,USO_Volume
2011-12-15,154.740005,154.949997,151.71000700000005,152.330002,152.330002,21521900.0,123.029999,123.199997,121.989998,122.18,105.44123799999998,199109200.0,11825.29004,11967.83984,11825.21973,11868.80957,11868.80957,136930000.0,74.550003,76.150002,72.150002,72.900002,70.43175500000002,787900.0,1.3018,1.2982,1.3051,1.2957,1.0,105.09,104.88,106.5,104.88,14330.0,1.0,93.42,94.91,96.0,93.33,0.0,53604.0,54248.0,54248.0,52316.0,119440.0,1.0,1.911,1.911,1.911,1.911,1.0,1414.65,1420.3,1423.35,1376.85,0.0,618.85,614.7,615.0,614.6,1.0,1425.0,80.34100000000002,80.565,80.63,80.13,22850.0,0.0,53.009998,53.139999,51.57,51.68,48.973877,20605600.0,36.900002,36.939999,36.049999,36.130001,36.130001,12616700.0
2011-12-16,154.309998,155.369995,153.899994,155.229996,155.229996,18124300.0,122.230003,122.949997,121.300003,121.589996,105.597549,220481400.0,11870.25,11968.17969,11819.30957,11866.38965,11866.38965,389520000.0,73.599998,75.099998,73.349998,74.900002,72.364037,896600.0,1.3035,1.3019999999999998,1.3087,1.2997,1.0,103.35,103.51,104.56,102.46,140080.0,0.0,93.79,93.43,94.8,92.53,1.0,53458.0,53650.0,54030.0,52890.0,65390.0,0.0,1.851,1.851,1.851,1.851,0.0,1420.25,1414.75,1431.75,1400.7,1.0,623.65,622.6,623.45,622.3,1.0,1400.0,80.249,80.175,80.395,79.935,13150.0,0.0,52.5,53.18,52.040001,52.68,49.921513,16285400.0,36.18,36.5,35.73,36.27,36.27,12578800.0
2011-12-17,154.69999733333333,155.53333033333334,154.05332966666666,155.10999566666666,155.10999566666666,16265266.666666666,122.17333466666666,122.739998,120.87666833333334,121.15666433333334,105.22121133333333,208288600.0,11869.013346666667,11954.079753333333,11791.269856666666,11833.013023333333,11833.013023333333,304736666.6666667,72.099998,73.333333,70.29999766666667,71.50000033333333,69.07915266666666,1296633.3333333333,1.3021666666666667,1.3027666666666666,1.3072666666666666,1.2991666666666668,0.6666666666666667,103.44666666666666,103.55,104.56333333333333,102.42999999999999,142680.0,0.3333333333333333,93.89,93.54333333333334,94.67666666666666,92.53666666666666,1.0,53292.333333333336,53566.666666666664,53820.0,52774.666666666664,66020.0,0.0,1.8373333333333333,1.8373333333333333,1.8373333333333333,1.8373333333333333,0.0,1417.2,1417.3833333333334,1430.3666666666666,1402.0,0.6666666666666667,618.6999999999999,623.7333333333333,625.6333333333333,617.7333333333333,0.6666666666666667,1400.0,80.235,80.21666666666667,80.42,79.99833333333333,9090.0,0.0,52.496667333333335,52.969999666666666,51.703333666666666,52.176666,49.44453466666666,15897000.0,36.24999966666667,36.48333366666667,35.79666666666667,36.246667,36.246667,10858600.0
2011-12-18,155.08999666666668,155.69666566666666,154.20666533333335,154.98999533333333,154.98999533333333,14406233.333333334,122.11666633333333,122.52999899999999,120.45333366666667,120.72333266666666,104.84487366666667,196095800.0,11867.776693333333,11939.979816666668,11763.230143333334,11799.636396666667,11799.636396666667,219953333.33333334,70.599998,71.566668,67.24999733333333,68.09999866666666,65.79426833333333,1696666.6666666665,1.3008333333333335,1.3035333333333332,1.3058333333333334,1.2986333333333333,0.33333333333333337,103.54333333333334,103.59,104.56666666666666,102.4,145280.0,0.6666666666666666,93.99000000000001,93.65666666666667,94.55333333333334,92.54333333333334,1.0,53126.666666666664,53483.333333333336,53610.0,52659.333333333336,66650.0,0.0,1.8236666666666668,1.8236666666666668,1.8236666666666668,1.8236666666666668,0.0,1414.1499999999999,1420.0166666666667,1428.9833333333333,1403.3,0.33333333333333337,613.75,624.8666666666667,627.8166666666667,613.1666666666666,0.33333333333333337,1400.0,80.22099999999999,80.25833333333333,80.445,80.06166666666667,5030.0,0.0,52.49333466666666,52.75999933333333,51.36666633333333,51.673332,48.967556333333334,15508600.0,36.319999333333335,36.46666733333333,35.86333333333333,36.223334,36.223334,9138400.0
2011-12-19,155.479996,155.860001,154.360001,154.869995,154.869995,12547200.0,122.059998,122.32,120.029999,120.290001,104.468536,183903000.0,11866.54004,11925.87988,11735.19043,11766.25977,11766.25977,135170000.0,69.099998,69.800003,64.199997,64.699997,62.509384,2096700.0,1.2995,1.3043,1.3044,1.2981,0.0,103.64,103.63,104.57,102.37,147880.0,1.0,94.09,93.77,94.43,92.55,1.0,52961.0,53400.0,53400.0,52544.0,67280.0,0.0,1.81,1.81,1.81,1.81,0.0,1411.1,1422.65,1427.6,1404.6,0.0,608.8,626.0,630.0,608.6,0.0,1400.0,80.207,80.3,80.47,80.125,970.0,0.0,52.490002,52.549999,51.029999,51.169998,48.490578,15120200.0,36.389999,36.450001,35.93,36.200001,36.200001,7418200.0
2011-12-20,156.820007,157.429993,156.580002,156.979996,156.979996,9136300.0,122.18,124.139999,120.370003,123.93,107.629784,225418100.0,11769.20996,12117.12988,11768.83008,12103.58008,12103.58008,165180000.0,66.449997,68.099998,66.0,67.0,64.731514,875300.0,1.3079,1.3003,1.3133,1.2994,1.0,106.73,104.3,107.27,103.91,170240.0,1.0,95.55,96.39,99.7,96.39,1.0,53487.0,52795.0,53575.0,52595.0,55130.0,1.0,1.927,1.927,1.927,1.927,1.0,1434.75,1408.95,1436.55,1408.15,1.0,626.65,622.45,622.45,622.45,1.0,1400.0,80.273,80.89,80.94,80.035,22950.0,1.0,52.380001,53.25,52.369999,52.990002,50.215282,11644900.0,37.299999,37.610001,37.220001,37.560001,37.560001,10041600.0
2011-12-21,156.979996,157.529999,156.130005,157.160004,157.160004,11996100.0,123.93,124.360001,122.75,124.169998,107.838242,194230900.0,12103.58008,12119.7002,11999.44043,12107.74023,12107.74023,163250000.0,67.099998,69.400002,66.900002,68.5,66.180725,837600.0,1.3045,1.3079,1.3197,1.3024,0.0,107.71,107.15,108.17,106.16,145090.0,1.0,99.01,97.54,99.26,96.81,1.0,53148.0,53519.0,54184.0,52937.0,75950.0,0.0,1.97,1.97,1.97,1.97,1.0,1429.05,1434.4,1453.75,1417.65,0.0,635.9,625.7,641.5,623.8,1.0,1400.0,80.35,80.105,80.445,79.55,24140.0,1.0,53.150002,53.43,52.419998,52.959999,50.186852,8724300.0,37.669998,38.240002,37.52,38.110001,38.110001,10728000.0
2011-12-22,156.350006,156.800003,155.330002,156.03999299999995,156.03999299999995,9888400.0,124.629997,125.400002,124.230003,125.269997,108.793526,119465400.0,12107.58984,12182.70996,12107.37012,12169.65039,12169.65039,151610000.0,68.400002,70.0,66.699997,69.75,67.388397,780600.0,1.3051,1.3047,1.3121,1.3018,1.0,107.89,107.92,108.5,107.29,111160.0,1.0,99.47,99.04,100.06,98.52,1.0,52894.0,53000.0,53460.0,52690.0,56530.0,0.0,1.953,1.953,1.953,1.953,0.0,1425.9,1429.0,1435.25,1415.9,0.0,652.45,632.0,650.8,632.0,1.0,1400.0,80.306,80.36,80.505,79.955,13240.0,0.0,52.560001,52.619999,51.77,52.400002,49.656178,13179600.0,38.27,38.549999,38.209999,38.279999,38.279999,5376800.0
2011-12-23,156.350006,156.490005,155.820007,156.309998,156.309998,3565100.0,125.669998,126.43,125.410004,126.389999,109.76622,92187200.0,12169.87988,12297.44043,12169.79981,12294.0,12294.0,80420000.0,70.050003,71.75,69.900002,71.599998,69.17576600000001,621200.0,1.3043,1.3051,1.3098,1.3026,0.0,107.96,107.77,108.55,107.4,64610.0,1.0,99.85,99.49,100.24,99.25,1.0,53067.0,53000.0,53348.0,52960.0,27510.0,1.0,2.021,2.021,2.021,2.021,1.0,1426.45,1425.55,1439.3,1424.2,1.0,665.55,664.95,665.05,664.95,1.0,1400.0,80.236,80.21,80.375,80.06,7170.0,0.0,52.59,52.790001,52.349998,52.790001,50.169365,4729000.0,38.470001,38.610001,38.369999,38.490002,38.490002,2162200.0
2011-12-24,156.03250500000001,156.25500449999998,155.5000035,155.9599995,155.9599995,3903475.0,125.794998,126.5275,125.5725025,126.41499875,109.78793125,90659325.0,12200.777342500001,12305.197755000001,12194.84229,12293.3374025,12293.3374025,84310000.0,70.237503,71.6000005,69.31250225,70.612499,68.22170075000001,593525.0,1.304925,1.305375,1.309425,1.302975,0.25,108.2875,107.86749999999999,108.7875,107.5125,61127.5,1.0,100.2075,99.60249999999999,100.6275,99.285,1.0,52978.0,53003.5,53285.75,52867.0,27495.0,0.75,2.01625,2.01625,2.01625,2.01625,0.75,1429.475,1428.7375,1440.1875,1424.3375,1.0,664.9124999999999,663.3375000000001,665.9875,661.6625,1.0,1400.0,80.21075,80.195,80.34,80.055,6792.5,0.0,52.534999750000004,52.722500749999995,52.1824985,52.5600005,49.95078275,4743350.0,38.475001250000005,38.7600005,38.392499,38.632501749999996,38.632501749999996,3580175.0
